time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-25T23:45:41.752Z,22.8232,93.5061,43,6.2,mww,,21,1.726,0.88,us,us7000fx45,2022-01-29T22:56:01.040Z,"20 km WSW of Falam, Myanmar",earthquake,5.4,3.7,0.08,15,reviewed,us,us
2021-11-25T22:50:05.487Z,29.8928,-113.8858,10,4.6,mb,,129,0.987,0.85,us,us7000fx3w,2022-01-29T22:56:01.040Z,"115 km W of La Libertad, Mexico",earthquake,2.6,2,0.048,129,reviewed,us,us
2021-11-25T20:22:49.156Z,-6.1285,149.1585,65.6,4.5,mb,,55,3.558,0.9,us,us7000fx37,2022-01-29T22:55:59.040Z,"43 km WNW of Kandrian, Papua New Guinea",earthquake,9,4,0.088,41,reviewed,us,us
2021-11-25T19:44:34.584Z,-57.7551,-23.7574,10,4.9,mb,,70,7.933,0.85,us,us6000g7ye,2022-01-29T22:54:49.040Z,"South Sandwich Islands region",earthquake,8.8,1.8,0.116,23,reviewed,us,us
2021-11-25T16:18:48.208Z,-10.8035,166.3818,10,4.9,mb,,47,4.684,1.04,us,us6000g7y5,2022-01-29T22:54:48.040Z,"64 km E of Lata, Solomon Islands",earthquake,8.3,1.9,0.07,68,reviewed,us,us
2021-11-25T14:15:18.708Z,-10.3062,166.775,10,4.5,mb,,52,5.126,1.12,us,us7000fx0s,2022-01-29T22:55:56.040Z,"116 km ENE of Lata, Solomon Islands",earthquake,10,1.9,0.124,20,reviewed,us,us
2021-11-25T13:44:18.594Z,-10.8305,166.5223,13.72,5,mb,,66,4.636,1.19,us,us7000fx0g,2022-01-29T22:55:55.040Z,"80 km E of Lata, Solomon Islands",earthquake,6.8,3.6,0.043,179,reviewed,us,us
2021-11-25T13:33:12.110Z,-10.7696,166.4361,10,4.5,mb,,82,4.709,0.62,us,us6000g7xv,2022-01-29T22:54:48.040Z,"70 km E of Lata, Solomon Islands",earthquake,8.6,1.8,0.157,12,reviewed,us,us
2021-11-25T13:25:21.196Z,-0.5899,-22.5689,10,4.5,mb,,68,10.96,0.75,us,us6000g7xx,2022-01-29T22:54:48.040Z,"central Mid-Atlantic Ridge",earthquake,11.9,1.9,0.181,9,reviewed,us,us
2021-11-25T12:56:35.636Z,-2.8087,141.4674,10.78,4.5,mb,,56,0.816,0.8,us,us6000g7xt,2022-01-29T22:54:47.040Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,7.1,4.5,0.118,24,reviewed,us,us
